user_input,retrieved_contexts,response,reference,context_recall,faithfulness,factual_correctness,answer_relevancy
My landlord in Los Angeles raised my rent by 12% this year. Is that legal under California law?,[],"Based on California law, your landlord's 12% rent increase is likely not legal. Since the statewide rent cap, effective after July 1, 2024, limits rent increases to 5% plus the regional Consumer Price Index (CPI), with a maximum total of 10% per year, a 12% increase exceeds this limit. Therefore, your rent increase may be considered unlawful under California law. However, specific circumstances or local ordinances could affect this, so it may be helpful to consult a local legal aid organization or tenant rights group for personalized advice.","No, a 12% rent increase exceeds California’s statewide rent cap. Under the Tenant Protection Act of 2019 (AB 1482), landlords may increase rent by no more than 5% plus the local Consumer Price Index (CPI), with a maximum total increase of 10% per year. This applies to most rental units over 15 years old, including those in Los Angeles.",0.0,0.0,0.6,0.0
I live in a 10-year-old apartment in San Diego. Does the statewide rent cap apply to me?,[],"Based on the information provided, the California Tenant Rights Guide indicates that the statewide rent cap applies to most tenants in California, with certain exceptions. Specifically, the law limits rent increases to 5% plus the regional Consumer Price Index (CPI), with a maximum total increase of 10% per year. However, this law applies to buildings that are over 15 years old.

Since your apartment is 10 years old, it is younger than the 15-year threshold. Therefore, the statewide rent cap under the Tenant Protection Act of 2019 (AB 1482) does not apply to your 10-year-old apartment in San Diego. Local rent control ordinances, if any, might have different rules, but based on the statewide law, the rent cap does not apply in your case.","No. The statewide rent cap under AB 1482 only applies to buildings that are 15 years or older. Since your apartment is only 10 years old, it is not covered by the rent cap, unless your city has a local ordinance that includes newer buildings (San Diego’s local rent control, if any, would need to be checked separately).",0.0,0.0,,0.8833355572068547
My landlord hasn’t fixed a mold problem for 6 weeks. What are my legal options in California?,[],"In California, if your landlord has not fixed a mold problem for 6 weeks, you have several legal options:

1. **Request Repairs in Writing:** Ensure you have formally requested the repair in writing, keeping a record of your communication.

2. **Habitability Rights:** California law guarantees your right to a habitable home. Your landlord is required to maintain the rental unit in a condition fit for human occupation, which includes addressing mold issues promptly.

3. **Repair and Deduct or Withhold Rent:** If the landlord ignores your repair requests, you may be able to use remedies like ""repair and deduct"" (fixing the issue yourself and deducting the cost from rent) or withholding rent, but these options should be used carefully and ideally under legal guidance to avoid eviction risks.

4. **Report the Issue:** You can contact local health or building authorities to report the mold problem, which may prompt official inspections and enforcement.

5. **Legal Action:** If the landlord refuses to fix the mold and it poses a health hazard, you may consider consulting a legal aid organization or an attorney to explore further options, such as filing a complaint or pursuing a repair order through the courts.

6. **Protection Against Retaliation:** California law prohibits retaliation. If your landlord retaliates against you for requesting repairs (e.g., raising rent, threatening eviction), that action is illegal.

7. **Seek Legal Assistance:** For personalized advice and assistance, contact your local legal aid organization or tenant rights groups. Resources like LawHelpCA.org can connect you with free or low-cost legal help.

It’s important to document all communications and issues related to the mold problem. If the situation is urgent or your health is at risk, consider contacting local health authorities or legal aid immediately.","You have several options. First, you must have given written notice. If the landlord still hasn’t acted after a reasonable time (typically 30 days for non-urgent issues, less for health hazards like mold), you may legally withhold rent (placed in a separate account), “repair and deduct” (up to one month’s rent), or potentially terminate the lease. Retaliation for requesting repairs is illegal.",0.0,,,0.9239264051370478
Can my landlord in Oakland evict me just because my one-year lease ended?,[],"In Oakland, your landlord cannot evict you simply because your one-year lease has ended. Under California law, most tenants are protected from no-cause evictions, meaning your landlord needs a valid reason (""just cause"") to evict you, such as nonpayment of rent, violation of lease terms, nuisance, or the owner moving in (with proper notice and, in some cases, relocation assistance). No-cause evictions are generally illegal for most tenants. 

If you receive an eviction notice without a valid reason, you should seek legal assistance to understand your rights and options.","No. Under California’s “just cause” eviction law (AB 1482), landlords cannot evict tenants simply because a lease expired. They must have a valid reason, such as nonpayment, violation of lease terms, or owner move-in (with relocation assistance in rent-controlled cities like Oakland).",0.0,0.0,0.83,0.9134012286192296
How long does my landlord have to return my security deposit after I move out in California?,[],"In California, your landlord is required to return your security deposit within 21 days after you move out. If there are any deductions, the landlord must provide you with a written explanation of those deductions, along with receipts for repairs over $125.","Within 21 days after you move out, your landlord must return your full security deposit or provide an itemized written statement explaining any deductions, along with receipts for repairs over $125.",0.0,0.0,0.4,0.7649815750568711
My landlord in Houston shut off my electricity because I was 5 days late on rent. Is that allowed in Texas?,[],"In Texas, landlords are not allowed to shut off your electricity as a way to enforce rent payment. The Texas Tenant Handbook states that self-help evictions, including changing locks or shutting off utilities, are illegal. Therefore, your landlord shutting off your electricity because you were five days late on rent is not permitted under Texas law. If this has happened, you may want to seek legal assistance to address the situation.","No. Self-help evictions—including shutting off utilities—are illegal in Texas, even for late rent. Landlords must go through the formal court eviction process. You can report this to local authorities or seek legal aid.",0.0,0.0,0.6,0.8892136441104551
I’ve lived in my Dallas apartment for 8 months. How much notice does my landlord need to give me for a rent increase?,[],"In Dallas, Texas, if your tenancy is month-to-month, your landlord is required to give you at least 30 days' notice before increasing the rent.","In Texas, landlords must typically provide 30 days’ notice for a rent increase in a month-to-month tenancy. Since you’ve lived there 8 months, you’re likely on a month-to-month lease (unless your original lease auto-renewed).",0.0,0.0,,0.7898470054217194
"My AC broke in July in Austin,  and my landlord hasn’t fixed it in 10 days. What can I do under Texas law?",[],"Under Texas law, if your AC broke in July and your landlord hasn't fixed it after 10 days, you have certain rights. Texas law requires landlords to maintain rental units in a habitable condition, which includes functioning heating and cooling systems during extreme weather. If the landlord fails to make necessary repairs within a reasonable time after being notified in writing, you may have options such as:

- **Repair and deduct:** You can pay for the repair yourself and deduct the cost from your rent, but only after giving written notice and allowing a reasonable time for the landlord to fix the issue.
- **Terminate the lease:** You may have the right to terminate your lease if the landlord's failure to repair makes the unit uninhabitable.

It's important to document your communication with your landlord and keep records of the issue. If your landlord does not respond or refuses to repair, you can seek assistance from legal aid organizations or contact the Texas Attorney General’s Consumer Protection Division for guidance. 

Please note that specific procedures and timelines may vary, so consulting with a legal professional or local tenant rights organization can provide tailored advice.","In extreme heat, AC is considered essential. After giving written notice, you may be able to “repair and deduct” (up to one month’s rent) or terminate the lease if the landlord fails to act within a reasonable time—which for life-threatening conditions like no AC in summer could be as short as 3–7 days.",0.0,,,
"Can a landlord in Texas charge a $3, 000 security deposit for a $1, 200/month apartment?",[],"In Texas, there is no legal cap on the amount a landlord can charge for a security deposit. The Texas Tenant Handbook states that security deposits are not capped by state law, meaning landlords can charge any amount they choose, such as $3,000 for a $1,200/month apartment. However, landlords are required to return the deposit within 30 days after the tenant moves out, minus any deductions for actual damages beyond normal wear and tear.","Yes. Texas law does not cap security deposits. However, the landlord must return it within 30 days if you provided a forwarding address and there are no damages beyond normal wear and tear.",0.0,0.0,0.67,0.7159728970917477
I received a 3-day notice to vacate in Fort Worth for late rent. What happens if I don’t leave?,[],"Error: status_code: 429, body: data=None id='c430e78d-d8b3-4760-94ae-472e0fe379f8' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","If you don’t pay or vacate within 3 days, your landlord can file an eviction lawsuit (forcible entry and detainer). You’ll receive a court summons. Do not ignore it—you have the right to appear in court and present your case. If you lose, a constable may forcibly remove you.",0.0,0.0,0.0,0.09568267127942813
