question_id,question,answer,ground_truth_answer,contexts,reference_context
Q01,My landlord in Los Angeles raised my rent by 12% this year. Is that legal under California law?,"No, it is not legal. Under California law, including local ordinances like those in Los Angeles, landlords may increase rent by no more than 5% plus the local Consumer Price Index (CPI), with a maximum total increase of 10% per year. A 12% rent increase exceeds this limit.","No, a 12% rent increase exceeds California’s statewide rent cap. Under the Tenant Protection Act of 2019 (AB 1482), landlords may increase rent by no more than 5% plus the local Consumer Price Index (CPI), with a maximum total increase of 10% per year. This applies to most rental units over 15 years old, including those in Los Angeles.",[],"Rent increases are limited under the Tenant Protection Act of 2019 (AB 1482). Most tenants in California are protected by a statewide rent cap: landlords may increase rent by no more than 5% plus the local Consumer Price Index (CPI), with a maximum total increase of 10% per year."
Q02,I live in a 10-year-old apartment in San Diego. Does the statewide rent cap apply to me?,"No, the statewide rent cap does not apply to you because it applies only to buildings over 15 years old. Since your apartment is 10 years old, it does not meet this criterion.","No. The statewide rent cap under AB 1482 only applies to buildings that are 15 years or older. Since your apartment is only 10 years old, it is not covered by the rent cap, unless your city has a local ordinance that includes newer buildings (San Diego’s local rent control, if any, would need to be checked separately).",[],"This law applies to buildings over 15 years old, excluding single-family homes unless owned by corporations."
Q03,My landlord hasn’t fixed a mold problem for 6 weeks. What are my legal options in California?,"In California, if your landlord refuses to make major repairs like addressing a mold problem after you have notified them in writing, you have a few legal options:

1. You must notify your landlord in writing about the mold problem.
2. Landlords generally have 30 days to make repairs, but urgent issues require faster action.
3. If your landlord ignores your written repair request, you may be able to withhold rent by placing it in a separate bank account or use the ""repair and deduct"" remedy, where you fix the problem yourself and subtract the cost from your rent—up to one month’s rent.

However, you should use these remedies carefully because missteps can lead to eviction.","You have several options. First, you must have given written notice. If the landlord still hasn’t acted after a reasonable time (typically 30 days for non-urgent issues, less for health hazards like mold), you may legally withhold rent (placed in a separate account), “repair and deduct” (up to one month’s rent), or potentially terminate the lease. Retaliation for requesting repairs is illegal.",[],"If something breaks or becomes unsafe, you must notify your landlord in writing. They generally have 30 days to make repairs... If you exercise your legal rights—such as requesting repairs... your landlord cannot raise your rent, reduce services, or threaten eviction in response."
Q04,Can my landlord in Oakland evict me just because my one-year lease ended?,"No, your landlord in Oakland cannot evict you just because your one-year lease ended. Under AB 1482 and local rent control laws like those in Oakland, evictions require “just cause,” and no-cause evictions are illegal for most tenants. Valid reasons for eviction include nonpayment of rent, lease violations, nuisance, or owner move-in with proper notice and relocation assistance.","No. Under California’s “just cause” eviction law (AB 1482), landlords cannot evict tenants simply because a lease expired. They must have a valid reason, such as nonpayment, violation of lease terms, or owner move-in (with relocation assistance in rent-controlled cities like Oakland).",[],Evictions require 'just cause' under AB 1482. This means your landlord cannot evict you simply because your lease ended or they want to raise the rent.
Q05,How long does my landlord have to return my security deposit after I move out in California?,"In California, your landlord must return your security deposit within 21 days after you move out. They must return your full deposit or provide an itemized written statement explaining any deductions, along with receipts for repairs over $125.","Within 21 days after you move out, your landlord must return your full security deposit or provide an itemized written statement explaining any deductions, along with receipts for repairs over $125.",[],"Within 21 days after you move out, your landlord must return your full deposit or provide an itemized written statement explaining any deductions, along with receipts for repairs over $125."
Q06,My landlord in Houston shut off my electricity because I was 5 days late on rent. Is that allowed in Texas?,"No, that is not allowed in Texas. The context states that self-help evictions, such as shutting off utilities, are illegal.","No. Self-help evictions—including shutting off utilities—are illegal in Texas, even for late rent. Landlords must go through the formal court eviction process. You can report this to local authorities or seek legal aid.",[],"Self-help evictions (changing locks, shutting off utilities) are illegal."
Q07,I’ve lived in my Dallas apartment for 8 months. How much notice does my landlord need to give me for a rent increase?,Your landlord must give you typically 30 days' notice for a rent increase for month-to-month tenancies in Texas.,"In Texas, landlords must typically provide 30 days’ notice for a rent increase in a month-to-month tenancy. Since you’ve lived there 8 months, you’re likely on a month-to-month lease (unless your original lease auto-renewed).",[],"Landlords may increase rent by any amount, provided they give proper notice—typically 30 days for month-to-month tenancies."
Q08,"My AC broke in July in Austin,  and my landlord hasn’t fixed it in 10 days. What can I do under Texas law?","Under Texas law, if your landlord fails to make necessary repairs such as a broken air conditioning system in a timely manner (usually 7 days for urgent issues), you may have the right to repair and deduct the cost (up to one month’s rent) or terminate the lease—but only after giving written notice to the landlord and allowing a reasonable time for repairs. Since your AC has been broken for 10 days and the landlord has not fixed it after you presumably gave notice, you may use these options. Be sure to provide written notice about the repair issue and keep documentation.

Additionally, the unit must have operable heating and cooling systems during extreme weather, so your landlord is responsible for fixing it.

In summary, you should:

1. Provide written notice to your landlord about the AC repair.
2. Allow a reasonable time for the repair (usually 7 days for urgent issues).
3. If the landlord still does not repair, you can repair and deduct the cost from your rent (up to one month’s rent) or consider terminating the lease.

Always keep records and documentation of your communications and repairs.","In extreme heat, AC is considered essential. After giving written notice, you may be able to “repair and deduct” (up to one month’s rent) or terminate the lease if the landlord fails to act within a reasonable time—which for life-threatening conditions like no AC in summer could be as short as 3–7 days.",[],"If your landlord fails to make necessary repairs, you may have the right to repair and deduct (up to one month’s rent) or terminate the lease—but only after giving written notice and allowing a reasonable time (usually 7 days for urgent issues, 30 for non-urgent)."
Q09,"Can a landlord in Texas charge a $3, 000 security deposit for a $1, 200/month apartment?","Based on the provided context from the Texas Tenant Handbook, security deposits are not capped by state law in Texas. Therefore, a landlord in Texas can charge a $3,000 security deposit for a $1,200/month apartment.","Yes. Texas law does not cap security deposits. However, the landlord must return it within 30 days if you provided a forwarding address and there are no damages beyond normal wear and tear.",[],"Security deposits are not capped by state law, but landlords must return them within 30 days after you move out if you provided a forwarding address."
Q10,I received a 3-day notice to vacate in Fort Worth for late rent. What happens if I don’t leave?,"If you receive a 3-day “Notice to Vacate” in Texas for late rent and you don’t pay or move out, your landlord can file an eviction lawsuit (forcible entry and detainer). You have the right to appear in court and present your side. However, never ignore court papers, as doing so results in automatic eviction.","If you don’t pay or vacate within 3 days, your landlord can file an eviction lawsuit (forcible entry and detainer). You’ll receive a court summons. Do not ignore it—you have the right to appear in court and present your case. If you lose, a constable may forcibly remove you.",[],"If you miss rent, your landlord must give you a 3-day 'Notice to Vacate.' If you don’t pay or move out, they can file an eviction lawsuit... You have the right to appear in court and present your side. Never ignore court papers."
